State,Speed Limit
Hawaii,50
New York,55
Maryland,65
Pennsylvania,70
Connecticut,55
Minnesota,60
Massachusetts,65
Florida,70
Illinois,70
Missouri,70
Puerto Rico,55
Rhode Island,55
Oregon,60
Delaware,65
New Jersey,65
California,65
New Hampshire,65
Maine,65
North Carolina,70
Indiana,70
Ohio,70
Wisconsin,70
Louisiana,70
Vermont,55
District of Columbia,55
West Virginia,65
Alaska,65
Arizona,65
Iowa,65
Nevada,65
Oklahoma,65
Tennessee,70
Virginia,70
Georgia,70
Kentucky,70
Mississippi,70
Alabama,70
Michigan,70
Colorado,75
Nebraska,75
New Mexico,75
North Dakota,75
Texas,75
South Carolina,60
Washington,60
Idaho,65
Kansas,75
South Dakota,75
Wyoming,75
Arkansas,65
Montana,65
Utah,70
